Epoch,PPL,Test PPL
1,333.83686752408613,142.9720925640663
2,243.56458547837622,142.9720925640663
3,212.6705569563698,142.9720925640663
4,193.22119985889034,142.9720925640663
5,185.41992925888664,142.9720925640663
6,172.62804624423114,142.9720925640663
7,165.83145614562645,142.9720925640663
8,161.7155601598319,142.9720925640663
9,157.38792394179833,142.9720925640663
10,155.83401313252446,142.9720925640663
11,152.6181132512785,142.9720925640663
12,151.41565066822602,142.9720925640663
13,150.64326433696954,142.9720925640663
14,149.07980837685264,142.9720925640663
15,148.01879502549167,142.9720925640663
16,148.11255195134007,142.9720925640663
17,148.2409403809505,142.9720925640663
18,148.45261113428666,142.9720925640663
