Epoch,PPL,Test PPL
1,340.46502896656955,142.62019799107793
2,240.77197609154337,142.62019799107793
3,213.50115912417508,142.62019799107793
4,190.10880361205497,142.62019799107793
5,178.2967044360171,142.62019799107793
6,166.63022533644858,142.62019799107793
7,161.92645913971725,142.62019799107793
8,158.1096396160483,142.62019799107793
9,154.6477251909621,142.62019799107793
10,153.5083742240472,142.62019799107793
11,150.78978140707753,142.62019799107793
12,149.25443870836287,142.62019799107793
13,147.83078442145944,142.62019799107793
14,147.5748954447541,142.62019799107793
15,148.17283307913473,142.62019799107793
16,146.99922506745799,142.62019799107793
17,149.27622712598335,142.62019799107793
18,148.24836193441035,142.62019799107793
19,149.2778145545686,142.62019799107793
