Batch Size,Learning Rate,Test PPL
128,0.01,205.6695565142034
32,0.01,152.4657281766598
64,0.01,171.62754706274433
128,0.1,148.14326676932433
32,0.1,140.65558685385128
64,0.1,143.00510841126356
128,1.2,137.0840638610008
32,1.2,146.43467917368358
64,1.2,138.85399033546892
128,1.5,137.0326753029785
32,1.5,149.9813817770965
64,1.5,140.86476642348322
128,1.0,136.83013320126324
32,1.0,144.4641112479144
64,1.0,137.91745714621985
128,2.5,143.90155329551277
32,2.5,137.28907890154454
64,2.5,141.37329469156714
128,2.0,144.03066286494737
32,2.0,138.64719818678788
64,2.0,143.94147260766812
128,3.5,142.90548590737268
32,3.5,138.12900479736965
64,3.5,141.3606947397841
128,3.7,142.9720925640663
32,3.7,137.69520642682733
64,3.7,141.14436325717827
128,3.0,142.42250787907113
32,3.0,137.35195911512312
64,3.0,141.2839014403321
128,4.0,142.62019799107793
32,4.0,138.7052485976524
64,4.0,141.52641763466625
