Epoch,PPL,Test PPL
1,393.2353786521407,121.28778796359042
2,267.7152860672524,121.28778796359042
3,220.52067769955133,121.28778796359042
4,195.27463498940634,121.28778796359042
5,178.72807378397093,121.28778796359042
6,167.21295021739553,121.28778796359042
7,159.1600087956505,121.28778796359042
8,153.0594441377093,121.28778796359042
9,148.7676877418613,121.28778796359042
10,144.49824986611165,121.28778796359042
11,141.31986430973913,121.28778796359042
12,138.5733689432161,121.28778796359042
13,136.08688216270153,121.28778796359042
14,134.76229303291277,121.28778796359042
15,133.8378872411303,121.28778796359042
16,132.744217452382,121.28778796359042
17,132.13624484431284,121.28778796359042
18,131.33924785134442,121.28778796359042
19,131.3646938769394,121.28778796359042
20,131.14320001690567,121.28778796359042
21,131.13227207843448,121.28778796359042
22,131.08303988035632,121.28778796359042
23,130.97911303177236,121.28778796359042
24,131.61768158783977,121.28778796359042
25,131.7763433453365,121.28778796359042
26,132.0163142015175,121.28778796359042
