Batch Size,Embedding Size,Hidden Size,Learning Rate,Test PPL
32,300,200,0.0001,120.57207516363799
32,300,200,0.0005,122.50133021073708
32,300,200,0.001,123.76619559976623
32,300,200,0.005,137.12487375858393
32,300,200,0.01,158.77743246459428
64,300,200,0.0001,126.4256702730514
64,300,200,0.0005,120.9566753087468
64,300,200,0.001,123.81343790759988
64,300,200,0.005,133.3604334313442
64,300,200,0.01,149.8629731783016
128,300,200,0.0001,136.56682297941418
128,300,200,0.0005,121.2199790393246
128,300,200,0.001,121.28778796359042
128,300,200,0.005,129.80960367742682
128,300,200,0.01,143.33197580873647
