Epoch,PPL,Test PPL
1,602.0372340036148,166.31771496749533
2,483.47444092229983,166.31771496749533
3,429.2566643321591,166.31771496749533
4,394.89237266316917,166.31771496749533
5,369.75148366712244,166.31771496749533
6,350.2823198419042,166.31771496749533
7,334.60749309233006,166.31771496749533
8,321.82983336660413,166.31771496749533
9,310.3693790823964,166.31771496749533
10,301.35001525592514,166.31771496749533
11,292.9698746884645,166.31771496749533
12,285.2502065220224,166.31771496749533
13,278.38061151228305,166.31771496749533
14,272.10642090790543,166.31771496749533
15,266.8055422899178,166.31771496749533
16,261.6023493616055,166.31771496749533
17,257.2053119421327,166.31771496749533
18,253.0403316664199,166.31771496749533
19,249.36631035048802,166.31771496749533
20,245.32573643885144,166.31771496749533
21,242.25797013746077,166.31771496749533
22,238.76379255498267,166.31771496749533
23,236.2313247795388,166.31771496749533
24,233.21834750987605,166.31771496749533
25,230.96282112555505,166.31771496749533
26,228.47779486089274,166.31771496749533
27,225.96099668277068,166.31771496749533
28,223.90269630270757,166.31771496749533
29,222.02074598221103,166.31771496749533
30,220.00221248528308,166.31771496749533
31,218.53823547136764,166.31771496749533
32,216.81263796517382,166.31771496749533
33,214.66238794566814,166.31771496749533
34,213.1440360144303,166.31771496749533
35,211.78766198438927,166.31771496749533
36,210.0969525528747,166.31771496749533
37,208.6805906906625,166.31771496749533
38,207.5736161025473,166.31771496749533
39,206.3877527851322,166.31771496749533
40,204.944827665055,166.31771496749533
41,203.67608740003018,166.31771496749533
42,202.68808794114693,166.31771496749533
43,201.62977139198432,166.31771496749533
44,200.45163593568995,166.31771496749533
45,199.7578946223977,166.31771496749533
46,198.81573526387442,166.31771496749533
47,197.59435568641163,166.31771496749533
48,196.9890801604924,166.31771496749533
49,196.41291999823156,166.31771496749533
50,195.1337430629085,166.31771496749533
51,194.2036520464958,166.31771496749533
52,193.53742794360835,166.31771496749533
53,192.77624274770108,166.31771496749533
54,192.03848512502097,166.31771496749533
55,191.3090196981036,166.31771496749533
56,190.71632310279483,166.31771496749533
57,190.07136940447836,166.31771496749533
58,189.5222444109134,166.31771496749533
59,189.1713495751366,166.31771496749533
60,188.13217484427832,166.31771496749533
61,187.63884876759124,166.31771496749533
62,187.07030826568513,166.31771496749533
63,186.51018951694687,166.31771496749533
64,185.9333598092008,166.31771496749533
65,185.45139288633112,166.31771496749533
66,185.13313114179297,166.31771496749533
67,184.40520226401716,166.31771496749533
68,183.98320793791504,166.31771496749533
69,183.92097553582073,166.31771496749533
70,183.0741262856269,166.31771496749533
71,182.6381940936578,166.31771496749533
72,182.19963463896073,166.31771496749533
73,182.2818130898708,166.31771496749533
74,181.44192093394963,166.31771496749533
75,181.05372091184663,166.31771496749533
76,180.67813235174424,166.31771496749533
77,180.6104001759473,166.31771496749533
78,180.0300635768978,166.31771496749533
79,179.6156604408015,166.31771496749533
80,179.28499024973632,166.31771496749533
81,179.32792915466177,166.31771496749533
82,178.6500875059337,166.31771496749533
83,177.98561212805296,166.31771496749533
84,178.07972476456698,166.31771496749533
85,177.82680450902797,166.31771496749533
86,177.4952191218928,166.31771496749533
87,177.06739034000032,166.31771496749533
88,176.73030654606004,166.31771496749533
89,176.4606384096118,166.31771496749533
90,176.4849978975628,166.31771496749533
91,176.31778709216192,166.31771496749533
92,175.64436987828563,166.31771496749533
93,175.64554808433064,166.31771496749533
94,175.2701738812343,166.31771496749533
95,174.7595187333089,166.31771496749533
96,174.6677193418497,166.31771496749533
97,174.5788636926766,166.31771496749533
98,174.38290986761072,166.31771496749533
99,174.26852453369472,166.31771496749533
