Epoch,PPL,Test PPL
1,481.80318038922394,122.35734549587055
2,339.47966237992097,122.35734549587055
3,270.96449810427356,122.35734549587055
4,226.8451658645338,122.35734549587055
5,208.36683325836273,122.35734549587055
6,189.86747333881675,122.35734549587055
7,178.41998509140453,122.35734549587055
8,166.47297618051482,122.35734549587055
9,162.27103772685246,122.35734549587055
10,149.55033693783537,122.35734549587055
11,145.8640949587421,122.35734549587055
12,143.49616986758585,122.35734549587055
13,139.98419603652192,122.35734549587055
14,136.65202689441998,122.35734549587055
15,133.41986815829475,122.35734549587055
16,131.12837251764736,122.35734549587055
17,129.0946955468007,122.35734549587055
18,127.14804586258496,122.35734549587055
19,125.6703509433456,122.35734549587055
20,126.57860706238536,122.35734549587055
21,127.67882540302888,122.35734549587055
22,125.278191940929,122.35734549587055
23,125.5378059355967,122.35734549587055
24,125.04442496974727,122.35734549587055
25,126.72896758115256,122.35734549587055
26,125.0432791290479,122.35734549587055
27,128.18223088190098,122.35734549587055
28,128.53335235253837,122.35734549587055
29,127.41905812281749,122.35734549587055
