Batch Size,Learning Rate,Test PPL
128,0.5,142.83099875081743
32,0.5,104.75974461931958
64,0.5,119.45798980143483
128,1.0,112.43952552326844
32,1.0,100.31134619050906
64,1.0,117.48727189515792
128,1.5,106.24375418463752
32,1.5,98.7882353200663
64,1.5,110.35232252213494
128,2.5,103.98471330330818
32,2.5,97.86847882071602
64,2.5,99.58189079923922
128,2.7,101.78343948186144
32,2.7,97.64751725653431
64,2.7,100.5324503297642
128,2.0,103.45214413853888
32,2.0,97.92010670026993
64,2.0,101.32064116728706
128,3.0,102.9106333529
32,3.0,97.52186694004584
64,3.0,100.34340423718795
128,3.2,101.07218283614816
32,3.2,96.63379063249523
64,3.2,99.5825200097028
128,3.5,100.38730073221036
32,3.5,96.83080907488416
64,3.5,98.9300068615527
128,4.0,100.67373812949371
32,4.0,97.0326713734958
64,4.0,98.68484008071964
