Batch Size;Learning Rate;Embedding Dropout;Output Dropout;Test PPL
128;0,5;0,1;0,4;142,8309988
64;0,5;0,1;0,4;119,4579898
64;1;0,1;0,4;117,4872719
128;1;0,1;0,4;112,4395255
64;1,5;0,1;0,4;110,3523225
128;4;0,15;0,35;106,7001881
128;1,5;0,1;0,4;106,2437542
32;0,5;0,1;0,4;104,7597446
128;2,5;0,1;0,4;103,9847133
128;2;0,1;0,4;103,4521441
128;3,2;0,15;0,35;103,317136
128;3;0,1;0,4;102,9106334
128;3,2;0,1;0,35;102,2327314
128;4;0,15;0,4;102,1109147
128;3,5;0,1;0,35;102,1085216
128;4;0,1;0,35;101,921737
128;2,7;0,1;0,4;101,7834395
128;3,5;0,15;0,4;101,5491594
128;3,5;0,15;0,35;101,3971331
64;2;0,1;0,4;101,3206412
128;4;0,1;0,4;101,3031518
128;3,7;0,1;0,35;100,8673882
64;3,2;0,1;0,35;100,6775236
128;3,5;0,1;0,4;100,5961904
128;3,2;0,1;0,4;100,5714206
64;4;0,1;0,35;100,5444708
64;2,7;0,1;0,4;100,5324503
128;3,7;0,1;0,4;100,5115428
128;3,7;0,15;0,35;100,4809313
64;3,7;0,1;0,35;100,3699419
64;3;0,1;0,4;100,3434042
32;1;0,1;0,4;100,3113462
64;3,5;0,1;0,35;100,2947229
64;2,5;0,1;0,4;99,5818908
64;3,2;0,15;0,35;99,57912986
128;3,2;0,15;0,4;99,34005216
64;3,7;0,1;0,4;99,29283013
64;3,5;0,1;0,4;99,18602498
32;3,2;0,1;0,35;99,16959897
64;3,2;0,1;0,4;98,80191764
32;1,5;0,1;0,4;98,78823532
128;3,7;0,15;0,4;98,63999211
64;3,2;0,15;0,4;98,62910469
64;3,7;0,15;0,35;98,61160127
64;4;0,15;0,35;98,45083886
64;3,5;0,15;0,35;98,40907119
32;3,5;0,1;0,35;98,33052664
64;3,7;0,15;0,4;98,31826524
64;4;0,1;0,4;98,12945912
32;2;0,1;0,4;97,9201067
32;3,5;0,1;0,4;97,90629097
32;4;0,1;0,35;97,87523114
32;2,5;0,1;0,4;97,86847882
32;3,7;0,1;0,35;97,79825932
32;2,7;0,1;0,4;97,64751726
32;3;0,1;0,4;97,52186694
64;4;0,15;0,4;97,41041985
64;3,5;0,15;0,4;97,4067536
32;3,7;0,15;0,35;97,32140101
32;3,7;0,1;0,4;96,99078747
32;3,2;0,1;0,4;96,9340595
32;3,5;0,15;0,4;96,86070601
32;4;0,15;0,35;96,84503627
32;4;0,1;0,4;96,83460752
32;3,2;0,15;0,35;96,80542224
32;3,2;0,15;0,4;96,61243616
32;3,5;0,15;0,35;96,43642635
32;4;0,15;0,4;96,08982439
32;3,7;0,15;0,4;95,68546958
